twic,pgn,time_class,white_clock,black_clock
1m+1spm,60+1,Blitz,,
15m,900,Rapid,,
120m(40)+15m,40/7200:900,Standard,,
100m:50m:15m+30spm(61),40/6000:20/3000:900+30,Standard,,
12m+5spm,720+5,Rapid,,
120m:60m:30m,40/7200:20/3600:1800,Standard,,
45m,2700,Rapid,,
10m+2spm,600+2,Rapid,,
4m+3smp,240+3,Blitz,,
100m:50+30smp(1),40/6000+30:3000+30,Standard,,
60m+30m,40/3600:1800,Standard,,
